achievements_title;Milestones
achievement_ui_unlocks_item;Unlocks:
ach_aberration_obliteration_desc;Defeat one hundred aberrant enemies.
ach_aberration_obliteration_name;Aberration Obliteration
ach_antique_antik_desc;Destroy a Sacrifice Statue.
ach_antique_antik_name;Antique Antik
ach_apprentice_cartographer_desc;Discover your first point of interest
ach_apprentice_cartographer_name;Apprentice Cartographer
ach_attics_anonymous_desc;Discover a secret room in the ceiling.
ach_attics_anonymous_name;Attics Anonymous
ach_a_battle_won_desc;Damage The Beast with the Mercenary's Armament.
ach_a_battle_won_name;A Battle Won
ach_a_contract_completed_desc;Damage The Beast with the Assassin's Armament.
ach_a_contract_completed_name;A Contract Completed
ach_a_dread_pact_fulfilled_desc;Damage The Beast with the Magician's Armament in hard mode (1.75x).
ach_a_dread_pact_fulfilled_name;A Dread Pact Fulfilled
ach_a_hard_battle_won_desc;Damage The Beast with the Mercenary's Armament in hard mode (1.75x).
ach_a_hard_battle_won_name;A Hard Battle Won
ach_a_hard_contract_completed_desc;Damage The Beast with the Assassin's Armament in Hard Mode (1.75x)
ach_a_hard_contract_completed_name;A Hard Contract Completed
ach_a_pact_fulfilled_desc;Damage The Beast with the Magician's Armament.
ach_a_pact_fulfilled_name;A Pact Fulfilled
ach_big_spender_desc;Acquire four items from shops during a single delve.
ach_big_spender_name;Big Spender
ach_black_friday_desc;Raise your merchant discount to 60%.
ach_black_friday_name;Black Friday
ach_ceramic_panic_desc;Destroy one thousand pots.
ach_ceramic_panic_name;Ceramic Panic
ach_close_the_book_desc;Discover all items.
ach_close_the_book_name;Close The Book
ach_crush_capitalism_desc;Defeat a Mad Merchant
ach_crush_capitalism_name;Crush Capitalism
ach_deep_cut_desc;Deal at least twenty-five damage with a single strike.
ach_deep_cut_name;Deep Cut
ach_deep_pockets_desc;Carry more than two hundred fifty coins during a single delve.
ach_deep_pockets_name;Deep Pockets
ach_dentist_delight_desc;Consume a food item made of gold.
ach_dentist_delight_name;Dentist's Delight
ach_empty_belly_desc;Escape The Ancient Dungeon without consuming any food items.
ach_empty_belly_name;Empty Belly
ach_errant_entrance_desc;Discover a secret room in the wall.
ach_errant_entrance_name;Errant Entrance
ach_feed_the_friend_desc;Throw a dragonfruit into a pit.
ach_feed_the_friend_name;Feed The Friend
ach_good_luck_desc;Enter the Ancient Dungeon for the first time
ach_good_luck_name;Good Luck!
ach_grand_cartographer_desc;Discover a point of interest on every floor
ach_grand_cartographer_name;Grand Cartographer
ach_grand_slammed_desc;Defeat 1000 enemies.
ach_grand_slammed_name;Grand Slammed
ach_grand_spammed_desc;Spend 1000 coins at shops.
ach_grand_spammed_name;Grand Spammed
ach_hale_and_hearty_desc;Acquire more than five full hearts of health.
ach_hale_and_hearty_name;Hale And Hearty
ach_hammer_time_desc;Use The Blacksmith's Anvil to augment a weapon.
ach_hammer_time_name;Hammer Time
ach_have_a_nice_trip_see_you_next_fall_desc;Fall into a pit in each floor and win the run.
ach_have_a_nice_trip_see_you_next_fall_name;Have A Nice Trip, See You Next Fall
